ID,EID,BIRTH,sex,BREED,BRTHW,SERUM,SORCE,TRL2
809808,USA003306516765 ,7/24/2025,F     ,D     ,89,0,LOD   ,4.5
809811,USA003306516714 ,7/24/2025,F     ,D     ,80,0,LOD   ,4.5
812001,USA003307850066 ,6/21/2025,F     ,D     ,62,0,CLD   ,4.5
812002,USA003307849852 ,6/21/2025,F     ,D     ,80,0,CLD   ,4.5
812003,USA003307849891 ,6/21/2025,F     ,D     ,72,0,CLD   ,4.5
812004,USA003307850045 ,6/21/2025,F     ,D     ,68,0,CLD   ,4.5
812005,USA003307850063 ,6/21/2025,F     ,D     ,77,0,CLD   ,4.5
812006,USA003307849938 ,6/21/2025,F     ,D     ,81,0,CLD   ,4.5
812007,USA003307849884 ,6/21/2025,F     ,D     ,73,0,CLD   ,4.5
812008,USA003307849844 ,6/22/2025,F     ,D     ,63,0,CLD   ,4.5
812044,USA003307849875 ,6/25/2025,F     ,D     ,76,0,CLD   ,4.5
812049,USA003307849942 ,6/26/2025,F     ,D     ,74,0,CLD   ,4.5
812050,USA003307850348 ,6/26/2025,F     ,D     ,72,0,CLD   ,4.5
812051,USA003307850435 ,6/26/2025,F     ,D     ,67,0,CLD   ,4.5
812052,USA003307850554 ,6/26/2025,F     ,D     ,91,0,CLD   ,4.5
812053,USA003307850497 ,6/26/2025,F     ,D     ,75,0,CLD   ,4.5
812105,USA003307850423 ,7/3/2025,F     ,D     ,58,0,CLD   ,4.5
812106,USA003307850466 ,7/3/2025,F     ,D     ,85,0,CLD   ,4.5
812107,USA003307850378 ,7/3/2025,F     ,D     ,82,0,CLD   ,4.5
812108,USA003307850356 ,7/3/2025,F     ,D     ,80,0,CLD   ,4.5
812110,USA003307850376 ,7/3/2025,F     ,D     ,70,0,CLD   ,4.5
812111,USA003307850450 ,7/3/2025,F     ,D     ,79,0,CLD   ,4.5
812113,USA003307850364 ,7/3/2025,F     ,D     ,61,0,CLD   ,4.5
812114,USA003307850411 ,7/3/2025,F     ,D     ,75,0,CLD   ,4.5
812115,USA003307850400 ,7/3/2025,F     ,D     ,80,0,CLD   ,4.5
