Cow,CalfID,Bdat,FOO,DatMOC,IceCube,DatON,TimeON,TimeONp,TRT,ToTCC,TimetoTCC,TimetoTCCp,Section,ArrTCC,TimeArrTCC,TimeArrTCCp,TimeTrip,DatOFF,TimeOFF,TimeOFFp
199,682238, 7/ 3/25 ,NOD   , 7/ 4/25 ,1759,7/7/25,16:00,21:00,DF3.5,7/8/25,8:14,13:14,G ,7/9/25,9:29,14:29,25.3,7/14/25,9:00,14:00
200,813483, 7/ 6/25 ,SWD   , 7/ 7/25 ,1765,7/7/25,16:00,21:00,DF3.5,7/8/25,7:54,12:54,B ,7/9/25,10:03,15:03,26.2,7/14/25,9:00,14:00
201,813481, 7/ 6/25 ,SWD   , 7/ 7/25 ,1769,7/7/25,16:00,21:00,DF3.5,7/8/25,7:52,12:52,A ,7/9/25,10:00,15:00,26.1,7/14/25,9:00,14:00
202,804982, 7/ 7/25 ,MSD   , 7/ 7/25 ,1772,7/7/25,16:00,21:00,DF3.5,7/8/25,7:52,12:52,A ,7/9/25,9:58,14:58,26.1,7/14/25,9:00,14:00
203,804964, 7/ 6/25 ,MSD   , 7/ 7/25 ,1775,7/7/25,16:00,21:00,DF3.5,7/8/25,7:50,12:50,A ,7/9/25,9:48,14:48,26.0,7/14/25,9:00,14:00
204,813457, 7/ 4/25 ,SWD   , 7/ 5/25 ,1778,7/7/25,16:00,21:00,DF3.5,7/8/25,8:14,13:14,G ,7/9/25,9:47,14:47,25.6,7/14/25,9:00,14:00
205,813486, 7/ 6/25 ,SWD   , 7/ 7/25 ,1783,7/7/25,16:00,21:00,DF3.5,7/8/25,7:52,12:52,A ,7/9/25,10:03,15:03,26.2,7/14/25,9:00,14:00
206,813496, 7/ 6/25 ,SWD   , 7/ 7/25 ,1784,7/7/25,16:00,21:00,DF3.5,7/8/25,7:52,12:52,A ,7/9/25,10:01,15:01,26.2,7/14/25,9:00,14:00
207,813482, 7/ 6/25 ,SWD   , 7/ 7/25 ,1789,7/7/25,16:00,21:00,DF3.5,7/8/25,7:54,12:54,B ,7/9/25,9:59,14:59,26.1,7/14/25,9:00,14:00
208,812124, 7/ 4/25 ,CLD   , 7/ 5/25 ,1790,7/7/25,16:00,21:00,DF3.5,7/8/25,8:13,13:13,G ,7/9/25,9:29,14:29,25.3,7/14/25,9:00,14:00
209,809505, 7/ 3/25 ,LOD   , 7/ 5/25 ,1797,7/7/25,16:00,21:00,DF3.5,7/8/25,8:16,13:16,G ,7/9/25,9:48,14:48,25.5,7/14/25,9:00,14:00
210,804941, 7/ 4/25 ,MSD   , 7/ 5/25 ,1799,7/7/25,16:00,21:00,DF3.5,7/8/25,8:12,13:12,F ,7/9/25,9:31,14:31,25.3,7/14/25,9:00,14:00
211,809514, 7/ 4/25 ,LOD   , 7/ 5/25 ,1817,7/7/25,16:00,21:00,DF3.5,7/8/25,8:11,13:11,F ,7/9/25,9:48,14:48,25.6,7/14/25,9:00,14:00
212,813453, 7/ 4/25 ,SWD   , 7/ 5/25 ,1818,7/7/25,16:00,21:00,DF3.5,7/8/25,8:12,13:12,F ,7/9/25,9:31,14:31,25.3,7/14/25,9:00,14:00
213,809509, 7/ 4/25 ,LOD   , 7/ 5/25 ,1819,7/7/25,16:00,21:00,DF3.5,7/8/25,8:13,13:13,G ,7/9/25,9:31,14:31,25.3,7/14/25,9:00,14:00
214,804938, 7/ 4/25 ,MSD   , 7/ 5/25 ,1824,7/7/25,16:00,21:00,DF3.5,7/8/25,8:15,13:15,G ,7/9/25,9:48,14:48,25.6,7/14/25,9:00,14:00
215,682223, 7/ 3/25 ,NOD   , 7/ 4/25 ,1831,7/7/25,16:00,21:00,DF3.5,7/8/25,8:15,13:15,G ,7/9/25,9:28,14:28,25.2,7/14/25,9:00,14:00
216,804981, 7/ 7/25 ,MSD   , 7/ 7/25 ,1833,7/7/25,16:00,21:00,DF3.5,7/8/25,7:54,12:54,B ,7/9/25,10:00,15:00,26.1,7/14/25,9:00,14:00
217,813458, 7/ 4/25 ,SWD   , 7/ 5/25 ,1835,7/7/25,16:00,21:00,DF3.5,7/8/25,8:12,13:12,G ,7/9/25,9:48,14:48,25.6,7/14/25,9:00,14:00
218,804940, 7/ 4/25 ,MSD   , 7/ 5/25 ,1839,7/7/25,16:00,21:00,DF3.5,7/8/25,8:15,13:15,G ,7/9/25,9:32,14:32,25.3,7/14/25,9:00,14:00
219,809516, 7/ 4/25 ,LOD   , 7/ 5/25 ,1840,7/7/25,16:00,21:00,DF3.5,7/8/25,8:15,13:15,G ,7/9/25,9:31,14:31,25.3,7/14/25,9:00,14:00
220,813494, 7/ 6/25 ,SWD   , 7/ 7/25 ,1843,7/7/25,16:00,21:00,DF3.5,7/8/25,7:52,12:52,A ,7/9/25,10:00,15:00,26.1,7/14/25,9:00,14:00
221,682227, 7/ 3/25 ,NOD   , 7/ 4/25 ,1846,7/7/25,16:00,21:00,DF3.5,7/8/25,8:15,13:15,G ,7/9/25,9:30,14:30,25.3,7/14/25,9:00,14:00
222,804933, 7/ 3/25 ,MSD   , 7/ 4/25 ,1847,7/7/25,16:00,21:00,DF3.5,7/8/25,8:12,13:12,F ,7/9/25,9:48,14:48,25.6,7/14/25,9:00,14:00
223,682241, 7/ 3/25 ,NOD   , 7/ 4/25 ,1853,7/7/25,16:00,21:00,DF3.5,7/8/25,8:15,13:15,G ,7/9/25,9:30,14:30,25.3,7/14/25,9:00,14:00
224,804965, 7/ 6/25 ,MSD   , 7/ 7/25 ,1922,7/7/25,16:00,21:00,DF3.5,7/8/25,7:52,12:52,A ,7/9/25,10:01,15:01,26.2,7/14/25,9:00,14:00
225,820283, 7/ 2/25 ,WSD   , 7/ 3/25 ,1923,7/7/25,16:00,21:00,DF3.5,7/8/25,8:16,13:16,G ,7/9/25,9:31,14:31,25.3,7/14/25,9:00,14:00
226,813439, 7/ 3/25 ,SWD   , 7/ 4/25 ,7510,7/7/25,16:00,21:00,DF3.5,7/8/25,8:12,13:12,F ,7/9/25,9:32,14:32,25.3,7/14/25,9:00,14:00
227,804983, 7/ 7/25 ,MSD   , 7/ 7/25 ,7511,7/7/25,16:00,21:00,DF3.5,7/8/25,7:55,12:55,B ,7/9/25,9:58,14:58,26.1,7/14/25,9:00,14:00
228,813446, 7/ 3/25 ,SWD   , 7/ 4/25 ,7568,7/7/25,16:00,21:00,DF3.5,7/8/25,8:12,13:12,F ,7/9/25,9:32,14:32,25.3,7/14/25,9:00,14:00
229,813490, 7/ 6/25 ,SWD   , 7/ 7/25 ,7589,7/7/25,16:00,21:00,DF3.5,7/8/25,7:54,12:54,B ,7/9/25,9:59,14:59,26.1,7/14/25,9:00,14:00
230,682222, 7/ 3/25 ,NOD   , 7/ 4/25 ,7595,7/7/25,16:00,21:00,DF3.5,7/8/25,8:14,13:14,G ,7/9/25,9:32,14:32,25.3,7/14/25,9:00,14:00
231,813474, 7/ 5/25 ,SWD   , 7/ 7/25 ,7597,7/7/25,16:00,21:00,DF3.5,7/8/25,7:52,12:52,A ,7/9/25,10:02,15:02,26.2,7/14/25,9:00,14:00
232,813485, 7/ 6/25 ,SWD   , 7/ 7/25 ,7599,7/7/25,16:00,21:00,DF3.5,7/8/25,7:53,12:53,A ,7/9/25,10:01,15:01,26.1,7/14/25,9:00,14:00
